"","Name","Groups","Group"
"667","Epicurus II","Male","Male"
"668","Epigenes","Male","Male"
"669","Epimenides","Male","Male"
"670","Epitimides","Male","Male"
"671","Erasistratus","Male","Male"
"672","Erastus","Male","Male"
"673","Eratosthenes","Male","Male"
"674","Erineus","Male","Male"
"675","Ethesians","Male","Male"
"676","Euaeon","Male","Male"
"677","Euagoras","Male","Male"
"678","Euanthes","Male","Male"
"679","Euathlus","Male","Male"
"680","Eubulides","Male","Male"
"681","Eubulides II","Male","Male"
"682","Eubulus","Male","Male"
"683","Eubulus II","Male","Male"
"684","Eubulus III","Male","Male"
"685","Eubulus V","Male","Male"
"686","Eubulus VI","Male","Male"
"687","Euclides","Male","Male"
"688","Eudemus","Male","Male"
"689","Eudoxus","Male","Male"
"690","Eudoxus II","Male","Male"
"691","Eudoxus III","Male","Male"
"692","Eudoxus IV","Male","Male"
"693","Eudromus","Male","Male"
"694","Eugamus","Male","Male"
"695","Eumelus","Male","Male"
"696","Eumenes","Male","Male"
"697","Eunomus","Male","Male"
"698","Euphantus","Male","Male"
"699","Euphorbus","Male","Male"
"700","Euphorion","Male","Male"
"701","Euphranor","Male","Male"
"702","Eupolis","Male","Male"
"703","Euripides","Male","Male"
"704","Euryclides","Male","Male"
"705","Eurylochus","Male","Male"
"706","Eurylochus II","Male","Male"
"707","Eurylochus III","Male","Male"
"708","Eurylochus IV","Male","Male"
"709","Eurymedon","Male","Male"
"710","Eurymenes","Male","Male"
"711","Eurystratus","Male","Male"
"712","Eurytus","Male","Male"
"713","Euthydemus II","Male","Male"
"714","Euthyphro","Male","Male"
"715","Euthyphro II","Male","Male"
"716","Euthyphro IV","Male","Male"
"717","Euthyrphro III","Male","Male"
"718","Eutychides","Male","Male"
"719","Evander","Male","Male"
"720","Exaenetus","Male","Male"
"721","Examyas","Male","Male"
"722","Execestides","Male","Male"
"723","Father of Phaeax","Male","Male"
"724","Favorinus","Male","Male"
"725","Glaucon","Male","Male"
"726","Glaucon II","Male","Male"
"727","Glauconides","Male","Male"
"728","Glaucos","Male","Male"
"729","Glaucus","Male","Male"
"730","Glaucus II","Male","Male"
"731","Gnurus","Male","Male"
"732","Gorgiadas","Male","Male"
"733","Gorgias","Male","Male"
"734","Gryllion","Male","Male"
"735","Gryllus II","Male","Male"
"736","Gryllus III?","Male","Male"
"737","Gymnosophists","Male","Male"
"738","Halcyoneus","Male","Male"
"739","Hannibal","Male","Male"
"740","Hecademus","Male","Male"
"741","Hecataeus","Male","Male"
"742","Hecato","Male","Male"
"743","Hegesias","Male","Male"
"744","Hegesias II","Male","Male"
"745","Hegesias III","Male","Male"
"746","Hegesibulus","Male","Male"
"747","Hegesilaus","Male","Male"
"748","Hegesinus","Male","Male"
"749","Hegesipolis","Male","Male"
"750","Hegesistratus","Male","Male"
"751","Helothales","Male","Male"
"752","Hemon","Male","Male"
"753","Heraclides","Male","Male"
"754","Heraclides II","Male","Male"
"755","Heraclides III","Male","Male"
"756","Heraclides IV","Male","Male"
"757","Heraclides of Serapion","Male","Male"
"758","Heraclides V","Male","Male"
"759","Heracliteans","Male","Male"
"760","Heraclitus","Male","Male"
"761","Heraclitus II","Male","Male"
"762","Heraclitus III","Male","Male"
"763","Heraclitus IV","Male","Male"
"764","Heraclitus V","Male","Male"
"765","Heracon","Male","Male"
"766","Herillus","Male","Male"
"767","Hermarchus","Male","Male"
"768","Hermias","Male","Male"
"769","Hermippus","Male","Male"
"770","Hermocrates","Male","Male"
"771","Hermodamas","Male","Male"
"772","Hermodorus","Male","Male"
"773","Hermogenes","Male","Male"
"774","Hermogenes II","Male","Male"
"775","Hermolaus","Male","Male"
"776","Hermotimus","Male","Male"
"777","Herodotus","Male","Male"
"778","Herodotus II","Male","Male"
"779","Herodotus III","Male","Male"
"780","Hesiod","Male","Male"
"781","Hestiaeus","Male","Male"
"782","Hicesius II","Male","Male"
"783","Hicetas","Male","Male"
"784","Hierocles","Male","Male"
"785","Hieronymus","Male","Male"
"786","Hipparchus","Male","Male"
"787","Hippasus","Male","Male"
"788","Hippasus III","Male","Male"
"789","Hippias","Male","Male"
"790","Hippobotus","Male","Male"
"791","Hippocrates","Male","Male"
"792","Hippocrates II","Male","Male"
"793","Hipponax","Male","Male"
"794","Hipponicus","Male","Male"
"795","Hipponicus II","Male","Male"
"796","Hippothales","Male","Male"
"797","Homer","Male","Male"
"798","Homer II","Male","Male"
"799","Hyperides","Male","Male"
"800","Hypsicrates","Male","Male"
"801","Hyrrhadius","Male","Male"
"802","Hystaspes","Male","Male"
"803","Ichthyas","Male","Male"
"804","Idomeneus","Male","Male"
"805","Ion","Male","Male"
"806","Iphicrates","Male","Male"
"807","Isidorus","Male","Male"
"808","Ismenias","Male","Male"
"809","Isocrates","Male","Male"
"810","Istrus","Male","Male"
"811","Ithaegenes","Male","Male"
"812","Justus","Male","Male"
"813","Lacademonian","Male","Male"
"814","Laches","Male","Male"
"815","Lacydes","Male","Male"
"816","Lagus","Male","Male"
"817","Lamiscus","Male","Male"
"818","Lamprocles","Male","Male"
"819","Laomedon","Male","Male"
"820","Lasos","Male","Male"
"821","Leodamas","Male","Male"
"822","Leon","Male","Male"
"823","Leon II","Male","Male"
"824","Leon III","Male","Male"
"825","Leon V","Male","Male"
"826","Leonteus","Male","Male"
"827","Leophantus","Male","Male"
"828","Leptines","Male","Male"
"829","Leucippus","Male","Male"
"830","Linus","Male","Male"
"831","Lobon","Male","Male"
"832","Lucanians","Male","Male"
"833","Lyco","Male","Male"
"834","Lyco II","Male","Male"
"835","Lycon","Male","Male"
"836","Lycon III","Male","Male"
"837","Lycophron","Male","Male"
"838","Lycophron II","Male","Male"
"839","Lycurgus","Male","Male"
"840","Lycurgus II","Male","Male"
"841","Lysanias","Male","Male"
"842","Lysanias II","Male","Male"
"843","Lysias","Male","Male"
"844","Lysicles","Male","Male"
"845","Lysimachus","Male","Male"
"846","Lysippus","Male","Male"
"847","Lysis","Male","Male"
"848","Lysis II","Male","Male"
"849","Machaon","Male","Male"
"850","Maeandrius","Male","Male"
"851","Magas","Male","Male"
"852","Magi","Male","Male"
"853","Marmacus","Male","Male"
"854","Mausolus","Male","Male"
"855","Meandrius","Male","Male"
"856","Medes","Male","Male"
"857","Megabyzus","Male","Male"
"858","Megaclides","Male","Male"
"859","Melantes","Male","Male"
"860","Melanthius","Male","Male"
"861","Melanthius II","Male","Male"
"862","Melantho","Male","Male"
"863","Melanthus","Male","Male"
"864","Meleager","Male","Male"
"865","Meletus","Male","Male"
"866","Meletus II","Male","Male"
"867","Melissus","Male","Male"
"868","Menander","Male","Male"
"869","Menander II","Male","Male"
"870","Menedemus","Male","Male"
"871","Menedemus II","Male","Male"
"872","Menedemus' Wife","Male","Male"
"873","Menexenus","Male","Male"
"874","Menippus","Male","Male"
"875","Meno","Male","Male"
"876","Menodorus","Male","Male"
"877","Menodotus","Male","Male"
"878","Menodotus II","Male","Male"
"879","Menoeceus","Male","Male"
"880","Mentor","Male","Male"
"881","Messapians","Male","Male"
"882","Metallus","Male","Male"
"883","Metapontines","Male","Male"
"884","Meton","Male","Male"
"885","Metrocles","Male","Male"
"886","Metrodorus","Male","Male"
"887","Metrodorus II","Male","Male"
"888","Metrodorus III","Male","Male"
"889","Metrodorus V","Male","Male"
"890","Midias","Male","Male"
"891","Midon","Male","Male"
"892","Milo","Male","Male"
"893","Miltiades II","Male","Male"
"894","Miltiades III","Male","Male"
"895","Mimnermus","Male","Male"
"896","Minyas","Male","Male"
"897","Mithradates","Male","Male"
"898","Mithras","Male","Male"
"899","Mnaseas","Male","Male"
"900","Mnesagoras","Male","Male"
"901","Mnesarchus","Male","Male"
"902","Mnesimachus","Male","Male"
"903","Mnesistratus","Male","Male"
"904","Mnesistratus II","Male","Male"
"905","Moereas","Male","Male"
"906","Moeris","Male","Male"
"907","Molon","Male","Male"
"908","Monimus","Male","Male"
"909","Moschus","Male","Male"
"910","Myrmex","Male","Male"
"911","Myroianus","Male","Male"
"912","Myronianus","Male","Male"
"913","Myrto","Male","Male"
"914","Mys","Male","Male"
"915","Myson","Male","Male"
"916","Nausiphanes","Male","Male"
"917","Neanthes","Male","Male"
"918","Nearchus","Male","Male"
"919","Nectanabis","Male","Male"
"920","Neocles","Male","Male"
"921","Neocles II","Male","Male"
"922","Neophron","Male","Male"
"923","Nessas","Male","Male"
"924","Nestis","Male","Male"
"925","Nicanor","Male","Male"
"926","Nicocreon","Male","Male"
"927","Nicolaus","Male","Male"
"928","Nicolochus","Male","Male"
"929","Nicomachus","Male","Male"
"930","Nicomachus II","Male","Male"
"931","Nicomachus III","Male","Male"
"932","Nicomedes","Male","Male"
"933","Nicostratus","Male","Male"
"934","Nileos","Male","Male"
"935","Numenius","Male","Male"
"936","Ocellus","Male","Male"
"937","Oenopides","Male","Male"
"938","Olympiodorus","Male","Male"
"939","Olympius","Male","Male"
"940","Onesicritus","Male","Male"
"941","Onetor","Male","Male"
"942","Orestades","Male","Male"
"943","Orion","Male","Male"
"944","Orontobates","Male","Male"
"945","Orpheus","Male","Male"
"946","Orthomenes","Male","Male"
"947","Paeonius","Male","Male"
"948","Pamphilus","Male","Male"
"949","Pamphylus","Male","Male"
"950","Panaetius","Male","Male"
"951","Panthea","Male","Male"
"952","Panthoides","Male","Male"
"953","Paraebates","Male","Male"
"954","Paris","Male","Male"
"955","Parmenides","Male","Male"
"956","Parmenides II","Male","Male"
"957","Parmeniscus","Male","Male"
"958","Pasicles","Male","Male"
"959","Pasicles II","Male","Male"
"960","Pasiphon","Male","Male"
"961","Pausanians","Male","Male"
"962","Pausanias","Male","Male"
"963","Peisianax","Male","Male"
"964","Pelopidas","Male","Male"
"965","Penelope","Male","Male"
"966","Perdiccas","Male","Male"
"967","Perdiccas III","Male","Male"
"968","Periander","Male","Male"
"969","Periander II","Male","Male"
"970","Pericles","Male","Male"
"971","Permenides","Male","Male"
"972","Persaeus","Male","Male"
"973","Persian King","Male","Male"
"974","Peucetians","Male","Male"
"975","Phaeax","Male","Male"
"976","Phaedo","Male","Male"
"977","Phaedrus","Male","Male"
"978","Phaestius","Male","Male"
"979","Phanias","Male","Male"
"980","Phanias II","Male","Male"
"981","Phanias III","Male","Male"
"982","Phanodicus","Male","Male"
"983","Phanostratus","Male","Male"
"984","Phanton","Male","Male"
"985","Pherecydes","Male","Male"
"986","Phidiades","Male","Male"
"987","Phidias","Male","Male"
"988","Philemon","Male","Male"
"989","Philetaerus","Male","Male"
"990","Philip","Male","Male"
"991","Philip IV","Male","Male"
"992","Philippus V","Male","Male"
"993","Philiscus","Male","Male"
"994","Philistion","Male","Male"
"995","Phillip","Male","Male"
"996","Philo","Male","Male"
"997","Philo II","Male","Male"
"998","Philo III","Male","Male"
"999","Philochorus","Male","Male"
"1000","Philocomus","Male","Male"
"1001","Philocrates II","Male","Male"
"1002","Philodemus","Male","Male"
"1003","Philolaus","Male","Male"
"1004","Philonides","Male","Male"
"1005","Philostratus","Male","Male"
"1006","Philoxenus","Male","Male"
"1007","Philtis","Male","Male"
"1008","Phlegon","Male","Male"
"1009","Phocion","Male","Male"
"1010","Phocus","Male","Male"
"1011","Photidas","Male","Male"
"1012","Phrasidemus","Male","Male"
"1013","Phrynicus","Male","Male"
"1014","Phrynon","Male","Male"
"1015","Phylarchus","Male","Male"
"1016","Phylopidas","Male","Male"
"1017","Pindar","Male","Male"
"1018","Pirithous","Male","Male"
"1019","Pisianax","Male","Male"
"1020","Pisistratus","Male","Male"
"1021","Pittacus","Male","Male"
"1022","Plato","Male","Male"
"1023","Plato II","Male","Male"
"1024","Plato III","Male","Male"
"1025","Plato IV","Male","Male"
"1026","Pleistarchus","Male","Male"
"1027","Plistanus","Male","Male"
"1028","Plutarch","Male","Male"
"1029","Polemo","Male","Male"
"1030","Pollis","Male","Male"
"1031","Polus","Male","Male"
"1032","Polyaenus","Male","Male"
"1033","Polycrates","Male","Male"
"1034","Polycrates II","Male","Male"
"1035","Polycritus","Male","Male"
"1036","Polydora","Male","Male"
"1037","Polyeuctus","Male","Male"
"1038","Polyeuctus II","Male","Male"
"1039","Polymnastus","Male","Male"
"1040","Polystratus","Male","Male"
"1041","Polyxenus","Male","Male"
"1042","Polyzelus","Male","Male"
"1043","Pompylus","Male","Male"
"1044","Poseidippus","Male","Male"
"1045","Posidonius","Male","Male"
"1046","Posidonius II","Male","Male"
"1047","Praulus","Male","Male"
"1048","Praxiades","Male","Male"
"1049","Praxiphanes","Male","Male"
"1050","Priest of Artemis","Male","Male"
"1051","Procles","Male","Male"
"1052","Prodicus","Male","Male"
"1053","Protagoras","Male","Male"
"1054","Proxenus","Male","Male"
"1055","Ptolemy","Male","Male"
"1056","Ptolemy II","Male","Male"
"1057","Ptolemy III","Male","Male"
"1058","Ptolemy IV","Male","Male"
"1059","Ptolemy V","Male","Male"
"1060","Ptolemy VI","Male","Male"
"1061","Pylades","Male","Male"
"1062","Pylades II","Male","Male"
"1063","Pyres","Male","Male"
"1064","Pyrrhaeus","Male","Male"
"1065","Pyrrho","Male","Male"
"1066","Pyrrhoneans","Male","Male"
"1067","Pyrrhus","Male","Male"
"1068","Pythagoras","Male","Male"
"1069","Pythagoras II","Male","Male"
"1070","Pythagoras III","Male","Male"
"1071","Pythagoras IV","Male","Male"
"1072","Pythagoras V","Male","Male"
"1073","Pythagoras VI","Male","Male"
"1074","Pythagoras VII","Male","Male"
"1075","Pythagoras VIII","Male","Male"
"1076","Pythagoras X","Male","Male"
"1077","Pythagoreans","Male","Male"
"1078","Pythian Priestess","Male","Male"
"1079","Pythias","Male","Male"
"1080","Pytho","Male","Male"
"1081","Pythocles","Male","Male"
"1082","Pythocles II","Male","Male"
"1083","Pythodorus","Male","Male"
"1084","Python","Male","Male"
"1085","Pythostratus","Male","Male"
"1086","Romans","Male","Male"
"1087","Sabinus","Male","Male"
"1088","Salarus","Male","Male"
"1089","Samians","Male","Male"
"1090","Sarpedon","Male","Male"
"1091","Saturninus","Male","Male"
"1092","Satyrus","Male","Male"
"1093","Scabras","Male","Male"
"1094","Scepticism","Male","Male"
"1095","Sceptics","Male","Male"
"1096","Scopas","Male","Male"
"1097","Scythinus","Male","Male"
"1098","Seleucus","Male","Male"
"1099","Seleucus II","Male","Male"
"1100","Selinuntines","Male","Male"
"1101","Semele","Male","Male"
"1102","Serapion","Male","Male"
"1103","Seuthes","Male","Male"
"1104","Seuthes II","Male","Male"
"1105","Seven Sages","Male","Male"
"1106","Sextus","Male","Male"
"1107","Sicilian","Male","Male"
"1108","Silanion","Male","Male"
"1109","Silenus","Male","Male"
"1110","Simmias","Male","Male"
"1111","Simon","Male","Male"
"1112","Simon II","Male","Male"
"1113","Simon III","Male","Male"
"1114","Simon IV","Male","Male"
"1115","Simonides","Male","Male"
"1116","Simus","Male","Male"
"1117","Sisymbrinus","Male","Male"
"1118","Socrates","Male","Male"
"1119","Socrates II","Male","Male"
"1120","Socrates III","Male","Male"
"1121","Socrates IV","Male","Male"
"1122","Socrates V","Male","Male"
"1123","Socratides","Male","Male"
"1124","Solon","Male","Male"
"1125","Son of Aristippus II","Male","Male"
"1126","Sophilus","Male","Male"
"1127","Sophists","Male","Male"
"1128","Sophocles","Male","Male"
"1129","Sophron","Male","Male"
"1130","Sophroniscus","Male","Male"
"1131","Sophroniscus II","Male","Male"
"1132","Sosibius","Male","Male"
"1133","Sosicrates","Male","Male"
"1134","Sositheus","Male","Male"
"1135","Sotion","Male","Male"
"1136","Speusippus","Male","Male"
"1137","Speusippus II","Male","Male"
"1138","Sphaerus","Male","Male"
"1139","Spintharus","Male","Male"
"1140","Stilpo","Male","Male"
"1141","Stoic","Male","Male"
"1142","Strato","Male","Male"
"1143","Strymon","Male","Male"
"1144","Suitors of Penelope","Male","Male"
"1145","Syagrus","Male","Male"
"1146","Syllus","Male","Male"
"1147","Syracusans","Male","Male"
"1148","Telauges","Male","Male"
"1149","Telecles","Male","Male"
"1150","Telesphorus","Male","Male"
"1151","Teleutagoras","Male","Male"
"1152","Terpander","Male","Male"
"1153","Teucer","Male","Male"
"1154","Teutames","Male","Male"
"1155","Thale","Male","Male"
"1156","Thales","Male","Male"
"1157","Thales VII","Male","Male"
"1158","Thaumasias","Male","Male"
"1159","The Cyrenaics","Male","Male"
"1160","The Eretrians","Male","Male"
"1161","The Thirty","Male","Male"
"1162","Theaetetus","Male","Male"
"1163","Theaetetus II","Male","Male"
"1164","Theano","Male","Male"
"1165","Theatetus II","Male","Male"
"1166","Theiodas","Male","Male"
"1167","Theocritus","Male","Male"
"1168","Theodorus","Male","Male"
"1169","Theodorus III","Male","Male"
"1170","Theodorus IV","Male","Male"
"1171","Theodorus IX","Male","Male"
"1172","Theodorus V","Male","Male"
"1173","Theodorus VI","Male","Male"
"1174","Theodorus VII","Male","Male"
"1175","Theodorus VIII","Male","Male"
"1176","Theodorus X","Male","Male"
"1177","Theodorus XI","Male","Male"
"1178","Theodorus XII","Male","Male"
"1179","Theodorus XIII","Male","Male"
"1180","Theodorus XIV","Male","Male"
"1181","Theodorus XV","Male","Male"
"1182","Theodorus XVI","Male","Male"
"1183","Theodorus XVII","Male","Male"
"1184","Theodorus XVIII","Male","Male"
"1185","Theodorus XVIIII","Male","Male"
"1186","Theodorus XX","Male","Male"
"1187","Theodosius","Male","Male"
"1188","Theodotas","Male","Male"
"1189","Theodotus","Male","Male"
"1190","Theombrotus","Male","Male"
"1191","Theomedon","Male","Male"
"1192","Theophanes","Male","Male"
"1193","Theophantus","Male","Male"
"1194","Theophrastus","Male","Male"
"1195","Theopompus","Male","Male"
"1196","Thesmophoria","Male","Male"
"1197","Thespis","Male","Male"
"1198","Thracian","Male","Male"
"1199","Thraso II","Male","Male"
"1200","Thrasonides","Male","Male"
"1201","Thrasybulus","Male","Male"
"1202","Thrasylus","Male","Male"
"1203","Thrasymachus","Male","Male"
"1204","Thrasymachus II","Male","Male"
"1205","Thucydides","Male","Male"
"1206","Thucydides II","Male","Male"
"1207","Thyrion","Male","Male"
"1208","Timaeus","Male","Male"
"1209","Timagoras","Male","Male"
"1210","Timarchus","Male","Male"
"1211","Timarchus II","Male","Male"
"1212","Timarchus III","Male","Male"
"1213","Timocrates","Male","Male"
"1214","Timocreon","Male","Male"
"1215","Timolaus","Male","Male"
"1216","Timon","Male","Male"
"1217","Timonides","Male","Male"
"1218","Timotheus","Male","Male"
"1219","Tycho","Male","Male"
"1220","Tyrraeus","Male","Male"
"1221","Tyrrhenians","Male","Male"
"1222","Tyrrhenus","Male","Male"
"1223","Tyrtaeus","Male","Male"
"1224","Wise Men","Male","Male"
"1225","Xanthus","Male","Male"
"1226","Xanthus II","Male","Male"
"1227","Xanthus III","Male","Male"
"1228","Xenaenetus","Male","Male"
"1229","Xeniades","Male","Male"
"1230","Xenocrates","Male","Male"
"1231","Xenophanes","Male","Male"
"1232","Xenophanes II","Male","Male"
"1233","Xenophilus","Male","Male"
"1234","Xenophon","Male","Male"
"1235","Xenophon II","Male","Male"
"1236","Xenophon III","Male","Male"
"1237","Xenophon IV","Male","Male"
"1238","Xenophon VI","Male","Male"
"1239","Xenophon VII","Male","Male"
"1240","Xerxes","Male","Male"
"1241","Zaleucus","Male","Male"
"1242","Zamolxis","Male","Male"
"1243","Zeno","Male","Male"
"1244","Zeno II","Male","Male"
"1245","Zeno III","Male","Male"
"1246","Zeno IV","Male","Male"
"1247","Zeno IX","Male","Male"
"1248","Zenodotus","Male","Male"
"1249","Zenodotus II","Male","Male"
"1250","Zetetics","Male","Male"
"1251","Zeuxippus","Male","Male"
"1252","Zeuxis","Male","Male"
"1253","Zoilus","Male","Male"
"1254","Zolus","Male","Male"
"1255","Zopyrus","Male","Male"
"1256","Zopyrus II","Male","Male"
"1257","Achilles","God","God"
"1258","Aphrodite","God","God"
"1259","Apollo","God","God"
"1260","Artemis","God","God"
"1261","Asclepius","God","God"
"1262","Athena","God","God"
"1263","Charybdis","God","God"
"1264","Chimaera","God","God"
"1265","Chiron","God","God"
"1266","Cupid","God","God"
"1267","Demeter","God","God"
"1268","Eumenides","God","God"
"1269","Hades","God","God"
"1270","Hector","God","God"
"1271","Hephaestus","God","God"
"1272","Hera","God","God"
"1273","Heracles","God","God"
"1274","Hermes","God","God"
"1275","Leda","God","God"
"1276","Mars","God","God"
"1277","Muses","God","God"
"1278","Neleus","God","God"
"1279","Nemesis","God","God"
"1280","Nymphs","God","God"
"1281","Odysseus","God","God"
"1282","Orestes","God","God"
"1283","Patroclus","God","God"
"1284","Persephone","God","God"
"1285","Poseidon","God","God"
"1286","Sarapis","God","God"
"1287","Scylla","God","God"
"1288","Thetis","God","God"
"1289","Venus","God","God"
"1290","Zeus","God","God"
"1291","Ambracis","Female","Female"
"1292","Archeanassa","Female","Female"
"1293","Arete","Female","Female"
"1294","Arsinoe","Female","Female"
"1295","Axiothea","Female","Female"
"1296","Batis","Female","Female"
"1297","Berenice","Female","Female"
"1298","Chaerestrate","Female","Female"
"1299","Cleobulina","Female","Female"
"1300","Cleobuline II","Female","Female"
"1301","Concubine of Hermias","Female","Female"
"1302","Crateia","Female","Female"
"1303","Daughter of Stilpo","Female","Female"
"1304","Eristheneia","Female","Female"
"1305","Erotion","Female","Female"
"1306","Eurydice","Female","Female"
"1307","Hedia","Female","Female"
"1308","Herpyllis","Female","Female"
"1309","Hipparchia","Female","Female"
"1310","Lais","Female","Female"
"1311","Lastheneia","Female","Female"
"1312","Leontion","Female","Female"
"1313","Lysida","Female","Female"
"1314","Mammarion","Female","Female"
"1315","Menedemus' Daughters","Female","Female"
"1316","Nicanor's mother","Female","Female"
"1317","Nicarete","Female","Female"
"1318","Nikidion","Female","Female"
"1319","Pamphila","Female","Female"
"1320","Perictione","Female","Female"
"1321","Phaenarete","Female","Female"
"1322","Phaestis","Female","Female"
"1323","Phemonoe","Female","Female"
"1324","Phila","Female","Female"
"1325","Philesia","Female","Female"
"1326","Philista","Female","Female"
"1327","Phryne","Female","Female"
"1328","Potone","Female","Female"
"1329","Sande","Female","Female"
"1330","Themista","Female","Female"
"1331","Themistoclea","Female","Female"
"1332","Theodete","Female","Female"
"1333","Wife of Asclepiades","Female","Female"
"1334","Wife of Menedemus","Female","Female"
"1335","Xanthippe","Female","Female"
"1336","Xanthippe II","Female","Female"
