name,lon,lat
Aegina,23.433333,37.75
Alexandrea ad Aegyptum,29.909773,31.201435
Delos,25.271111,37.393333
Branchidai,27.2561155,37.384829
Athens,23.726464,37.971687
Bosphorus,29.075278,41.119444
Clazomenae,26.7703,38.3614
Corinth,22.878721,37.906045
Crete,24.92,35.255
Crotona,17.08134,39.12007
Cyrenaica,21.69062297,32.49954979
Delos,25.271111,37.393333
Egypt,30.7955,26.696
Elis,21.375091,37.891781
Gela,14.258219,37.063156
Ionia,27.36322787,38.23600475
Italy,12,43
Lampsacus,26.68556,40.34417
Lesbos,26.1342123,39.2074811
Megara,23.34324,37.99471
Miletus,27.279561,37.531526
Milo,15.11554,37.7245
Metapontum,16.824063,40.383868
Nessus,23.75,41.75
Olympia,21.63087478,37.63868942
Olynthus,23.342665,40.292595
Phalerum,23.706248,37.937309
Phlius,22.641069,37.831664
Phoenicia,35.25,33.25
Samos,26.84,37.73
Syracuse,15.2791651,37.07164055
Thebes,23.317355,38.319236
Thurii,16.494309,39.716701