"","source","target","name","lat_source","lon_source","lat_target","lon_target"
"1","Cnidos","Piraeus","Theomedon","36.730968","27.685848","37.938183","23.645456"
"2","Athenae","Hellas","Xenophon","37.971687","23.726464","37.5","22.5"
"3","Macedonia","Athenae","Antigonus III","41.25","21.75","37.971687","23.726464"
"4","Chalcedon","Academy of Plato (Athens)","Xenocrates","40.983393","29.025789","37.971421","23.726166"
"5","Eretria","Elis","Menedemus","39.29195","22.60593","37.891781","21.375091"
"6","Phoenicia","Ancient Egypt (region)","Thales","33.25","35.25","27.884516","28.39896735"
"7","Kos","Megara (Attica)","Epicharmus","36.894723","27.288034","37.99471","23.34324"
"8","Miletus","Persia","Democritus","37.531526","27.279561","34.5","46.5"
"9","Cyrene","Megara (Attica)","Aristippus","32.8180895","21.8578913","37.99471","23.34324"
"10","Salamis","Creta","Solon","37.94874","23.53379","35.23189721","24.88625628"
"11","Phoenicia","Miletus","Nileos","33.25","35.25","37.531526","27.279561"
"12","Colophon","Zancle","Xenophanes","38.109632","27.14711","38.192251","15.556634"
"13","Eretria","Megara (Attica)","Menedemus","39.29195","22.60593","37.99471","23.34324"
"14","Colophon","Elea","Xenophanes","38.109632","27.14711","39.444248","20.560388"
"15","Athenae","Syracuse","Carcinus","37.971687","23.726464","37.05963","15.29382"
"16","Elis","India","Pyrrho","37.891781","21.375091","22.5","77.5"
"17","Samos","Nestos (river)","Pythagoras","37.73","26.84","41.5","23.5"
"18","Borysthenes (Olbia)","Athenae","Bion","46.691895","31.901597","37.971687","23.726464"
"19","Salamis","Cilicia","Solon","37.94874","23.53379","37.01602582","35.52573634"
"20","Cyrene","Corinth","Theodorus","32.8180895","21.8578913","37.906045","22.878721"
"21","Stagira","Borboros","Aristotle","40.593031","23.79204","40.75","22.75"
"22","Athenae","Corinth","Diodorus V","37.971687","23.726464","37.906045","22.878721"
"23","Elis","Alpheios river","Pyrrho","37.891781","21.375091","37.331323","22.450723"
"24","Abdera","Sicily","Protagoras","40.95","24.983333","37.59995833","14.01537778"
"25","Cyrene","Athenae","Theodorus","32.8180895","21.8578913","37.971687","23.726464"
"26","Athenae","Samos","Socrates","37.971687","23.726464","37.73","26.84"
"27","Cnidos","Piraeus","Eudoxus","36.730968","27.685848","37.938183","23.645456"
"28","Aeolis","Athenae","Arcesilaus","39","27.1","37.971687","23.726464"
"29","Assos","Athenae","Cleanthes","39.491621","26.339656","37.971687","23.726464"
"30","Athenae","Asia","Xenophon","37.971687","23.726464","38.00339058","28.583242"
"31","Salamis","Athenae","Solon","37.94874","23.53379","37.971687","23.726464"
"32","Phlius","Elis","Asclepiades","37.831664","22.641069","37.891781","21.375091"
"33","Colophon","Katane","Xenophanes","38.109632","27.14711","37.502959","15.088142"
"34","Syros","Olympian Zeus sanctuary (Eleia)","Pherecydes","37.43","24.92","37.63794","21.63042"
"35","Cnidos","Athenae","Theomedon","36.730968","27.685848","37.971687","23.726464"
"36","Athenae","Phthia","Socrates","37.971687","23.726464","39.25","22.25"
"37","Kos","Syracuse","Epicharmus","36.894723","27.288034","37.05963","15.29382"
"38","Kos","Megara Hyblaea","Epicharmus","36.894723","27.288034","37.203717","15.181777"
"39","Athenae","Corinth","Xenophon","37.971687","23.726464","37.906045","22.878721"
"40","Syria","Athenae","A Magician","38.295542","20.592532","37.971687","23.726464"
"41","Cnidos","Cyzicus","Eudoxus","36.730968","27.685848","40.361304","27.927064"
"42","Athenae","Elis","Xenophon","37.971687","23.726464","37.891781","21.375091"
"43","Cnidos","Propontis","Eudoxus","36.730968","27.685848","40.6666672","28.2499999"
"44","Cnidos","Ancient Egypt (region)","Eudoxus","36.730968","27.685848","27.884516","28.39896735"
"45","Athenae","Syracuse","Aeschines","37.971687","23.726464","37.05963","15.29382"
"46","Athenae","Academy of Plato (Athens)","Plato","37.971687","23.726464","37.971421","23.726166"
"47","Stagira","Chalcis","Aristotle","40.593031","23.79204","38.457139","23.621937"
"48","Salamis","Cyprus","Solon","37.94874","23.53379","35.14052197","33.40349071"
"49","Sicily","Peloponnesus","Empedocles","37.59995833","14.01537778","37.54","22.15"
"50","Samos","Ancient Egypt (region)","Pythagoras","37.73","26.84","27.884516","28.39896735"
"51","Syros","Messene","Pherecydes","37.43","24.92","37.183107","21.922941"
"52","Carthago","Athenae","Clitomachus","36.8501382","10.31556135","37.971687","23.726464"
"53","Clazomenae","Halicarnassus","Anaxagoras","38.3614","26.7703","37.032062","27.429126"
"54","Athenae","Amphipolis","Socrates","37.971687","23.726464","36.486032","38.234824"
"55","Phoenicia","Creta","Thales","33.25","35.25","35.23189721","24.88625628"
"56","Eretria","Amphiareion","Menedemus","39.29195","22.60593","38.29388","23.855162"
"57","Megara (Attica)","Aegina","Stilpo","37.99471","23.34324","37.75","23.433333"
"58","Abdera","Cyprus","Anaxarchus","40.95","24.983333","35.14052197","33.40349071"
"59","Macedonia","Cyrene","Demetrius XXVIII","41.25","21.75","32.8180895","21.8578913"
"60","Kos","Sicily","Epicharmus","36.894723","27.288034","37.59995833","14.01537778"
"61","Thebes","Mantinea","Epaminondas","38.319236","23.317355","37.616619","22.391896"
"62","Cnidos","Memphis (Egypt)","Eudoxus","36.730968","27.685848","29.849491","31.255061"
"63","Soli","Ancient Egypt (region)","Chrysippus","35.136687","32.814175","27.884516","28.39896735"
"64","Athenae","Calauria","Demosthenes","37.971687","23.726464","37.52255","23.48041"
"65","Athenae","Heraclea","Anytus","37.971687","23.726464","40.213021","16.678299"
"66","Sicily","Olympian Zeus sanctuary (Eleia)","Empedocles","37.59995833","14.01537778","37.63794","21.63042"
"67","Athenae","Mantinea","Gryllus II","37.971687","23.726464","37.616619","22.391896"
"68","Taras/Tarentum/Neptunia","Lucania","Archytas","40.469229","17.240045","40.75","15.75"
"69","Soli","Athenae","Crantor","35.136687","32.814175","37.971687","23.726464"
"70","Magnesia","Athenae","Demetrius","38.604383","27.43864","37.971687","23.726464"
"71","Samos","Italy","Pythagoras","37.73","26.84","43","12"
"72","Sicily","Aetna M.","Empedocles","37.59995833","14.01537778","37.755","14.995"
"73","Sicily","Thurii","Empedocles","37.59995833","14.01537778","39.715766","16.491255"
"74","Athenae","Delphi","Socrates","37.971687","23.726464","38.482289","22.501169"
"75","Cnidos","Athenae","Eudoxus","36.730968","27.685848","37.971687","23.726464"
"76","Sparta","Hellas","Agesilaus","37.073678","22.430937","37.5","22.5"
"77","Athenae","Sicily","Aeschines","37.971687","23.726464","37.59995833","14.01537778"
"78","Cyprus","Piraeus","Zeno II","35.14052197","33.40349071","37.938183","23.645456"
"79","Magnesia","Alexandria at Egypt","Demetrius","38.604383","27.43864","31.201435","29.909773"
"80","Athenae","Megara (Attica)","Aeschines","37.971687","23.726464","37.99471","23.34324"
"81","Sicily","Messene","Empedocles","37.59995833","14.01537778","37.183107","21.922941"
"82","Clazomenae","Athenae","Anaxagoras","38.3614","26.7703","37.971687","23.726464"
"83","Sicily","Hades (Place)","Empedocles","37.59995833","14.01537778","37.0325","31.6369"
"84","Athenae","Skillous","Xenophon","37.971687","23.726464","37.75","21.75"
"85","Sicily","Syracuse","Empedocles","37.59995833","14.01537778","37.05963","15.29382"
"86","Samos","Creta","Pythagoras","37.73","26.84","35.23189721","24.88625628"
"87","Athenae","Macedonia","Speusippus","37.971687","23.726464","41.25","21.75"
"88","Samos","Crotone","Pythagoras","37.73","26.84","39.080763","17.12708"
"89","Elis","Olympian Zeus sanctuary (Eleia)","Alexinus","37.891781","21.375091","37.63794","21.63042"
"90","Athenae","Lepreum","Xenophon","37.971687","23.726464","37.432321","21.726002"
"91","Pitane","Chios (island)","Pylades II","38.928297","26.937453","38.414","26.053"
"92","Athenae","Corinth","Gryllus II","37.971687","23.726464","37.906045","22.878721"
"93","Agrigentum","Taras/Tarentum/Neptunia","Agrigentines","37.289646","13.591997","40.469229","17.240045"
"94","Syros","Delos","Pherecydes","37.43","24.92","37.397274","25.268194"
"95","Borysthenes (Olbia)","Rhodos (island)","Bion","46.691895","31.901597","36.195597","27.964125"
"96","Samos","Hades (Place)","Pythagoras","37.73","26.84","37.0325","31.6369"
"97","Phoenicia","Athenae","Thales","33.25","35.25","37.971687","23.726464"
"98","Stagira","Macedonia","Aristotle","40.593031","23.79204","41.25","21.75"
"99","Athenae","Sicily","Plato","37.971687","23.726464","37.59995833","14.01537778"
"100","Miletus","Ancient Egypt (region)","Democritus","37.531526","27.279561","27.884516","28.39896735"
"101","Stagira","Athenae","Aristotle","40.593031","23.79204","37.971687","23.726464"
"102","Miletus","India","Democritus","37.531526","27.279561","22.5","77.5"
"103","Stagira","Lyceum (Athens)","Aristotle","40.593031","23.79204","37.975","23.7225"
"104","Samos","Metapontum","Pythagoras","37.73","26.84","40.383868","16.824063"
"105","Cnossos","Ida","Epimenides","35.297847","25.163106","39.7","26.83333"
"106","Aeolis","Sardis","Arcesilaus","39","27.1","38.488314","28.040286"
"107","Iasos","Alexandria at Egypt","Diodorus","37.278149","27.585572","31.201435","29.909773"
"108","Athenae","Samos","Archelaus","37.971687","23.726464","37.73","26.84"
"109","Samos","Ida","Pythagoras","37.73","26.84","39.7","26.83333"
"110","Athenae","Lepreum","Diodorus V","37.971687","23.726464","37.432321","21.726002"
"111","Pitane","Athenae","Pylades II","38.928297","26.937453","37.971687","23.726464"
"112","Salamis","Ancient Egypt (region)","Solon","37.94874","23.53379","27.884516","28.39896735"
"113","Skythai","Athenae","Anacharsis","47.5","27.5","37.971687","23.726464"
"114","Pitane","Sardis","Autolycus","38.928297","26.937453","38.488314","28.040286"
"115","Taras/Tarentum/Neptunia","Thebes","Lysis II","40.469229","17.240045","38.319236","23.317355"
"116","Phlius","Eretria","Asclepiades","37.831664","22.641069","39.29195","22.60593"
"117","Cyrene","Corinth","Aristippus","32.8180895","21.8578913","37.906045","22.878721"
"118","Cyrene","Athenae","Aristippus","32.8180895","21.8578913","37.971687","23.726464"
"119","Bosporus","Alexandria at Egypt","Sphaerus","41.119444","29.075278","31.201435","29.909773"
"120","Caria","Piraeus","Hierocles","37.2454182","28.28124501","37.938183","23.645456"
"121","Skythai","Sardis","Anacharsis","47.5","27.5","38.488314","28.040286"
"122","Samos","Delos","Pythagoras","37.73","26.84","37.397274","25.268194"
"123","Athenae","Potidaea","Socrates","37.971687","23.726464","40.193696","23.327812"
"124","Caria","Amphiareion","Hierocles","37.2454182","28.28124501","38.29388","23.855162"
"125","Athenae","Delium","Xenophon","37.971687","23.726464","38.351682","23.653589"
"126","Stagira","Academy of Plato (Athens)","Aristotle","40.593031","23.79204","37.971421","23.726166"
"127","Clazomenae","Lampsacus","Anaxagoras","38.3614","26.7703","40.346685","26.699162"
"128","Athenae","Potidaea","Alcibiades","37.971687","23.726464","40.193696","23.327812"
"129","Athenae","Isthmus","Socrates","37.971687","23.726464","37.911431","22.999944"
"130","Cyprus","Athenae","Zeno II","35.14052197","33.40349071","37.971687","23.726464"
"131","Cyrene","Asia","Aristippus","32.8180895","21.8578913","38.00339058","28.583242"
"132","Miletus","Red Sea","Democritus","37.531526","27.279561","19","39.5"
"133","Clazomenae","Ionia region (Asia Minor)","Anaxagoras","38.3614","26.7703","37.474596","27.508324"
"134","Cnossos","Athenae","Epimenides","35.297847","25.163106","37.971687","23.726464"
"135","Maronea","Corinth","Metrocles","40.874503","25.509974","37.906045","22.878721"
"136","Carystus","Lysimachia","Antigonus","38.016541","24.420381","38.535856","21.336882"
"137","Athenae","Mantinea","Cephisodorus","37.971687","23.726464","37.616619","22.391896"
"138","Clazomenae","Olympian Zeus sanctuary (Eleia)","Anaxagoras","38.3614","26.7703","37.63794","21.63042"
"139","Eretria","Oropus","Menedemus","39.29195","22.60593","38.319486","23.793064"
"140","Chalcedon","Sicily","Xenocrates","40.983393","29.025789","37.59995833","14.01537778"
"141","Miletus","Aethiopia","Democritus","37.531526","27.279561","12.5","37.5"
"142","Boeotia","Sardis","Proxenus","38.35","23.25","38.488314","28.040286"
"143","Megara (Attica)","Athenae","Stilpo","37.99471","23.34324","37.971687","23.726464"
"144","Syros","Samos","Pherecydes","37.43","24.92","37.73","26.84"
"145","Syros","Delphi","Pherecydes","37.43","24.92","38.482289","22.501169"
"146","Athenae","Pontus","Xenophon","37.971687","23.726464","40.5","36.5"
"147","Caria","Munichia","Hierocles","37.2454182","28.28124501","37.875","23.625"
"148","Stagira","Mitylene","Aristotle","40.593031","23.79204","39.110475","26.547048"
"149","Samos","Lesbos","Pythagoras","37.73","26.84","39.2074811","26.1342123"
"150","Athenae","Delium","Socrates","37.971687","23.726464","38.351682","23.653589"
"151","Athenae","Elis","Philesia","37.971687","23.726464","37.891781","21.375091"
"152","Abdera","Athenae","Protagoras","40.95","24.983333","37.971687","23.726464"
"153","Pontus","Athenae","Heraclides","40.5","36.5","37.971687","23.726464"
"154","Athenae","Lepreum","Gryllus II","37.971687","23.726464","37.432321","21.726002"
"155","Sicily","Athenae","Eudoxus III","37.59995833","14.01537778","37.971687","23.726464"
"156","Athenae","Skillous","Diodorus V","37.971687","23.726464","37.75","21.75"
